,0,urlPath
497,Sorbus aucuparia :: European Mountain Ash Tr,1342
498,Liquidambar styraciflua 'Slender Silhoutte' :: Upright Liquidambar,0
499,Prunus sargentii :: Sargent Cherry,1176
500,Liquidambar formosana :: Chinese Sweet Gum,817
501,Beaucarnea recurvata :: Ponytail palm,195
502,Leptospermum scoparium 'Snow White' :: New Zealand White Tea Tree,1496
503,Geijera spp :: Geijera,654
504,Brahea brandegeei :: San Jose hesper palm,216
505,Pinus pinaster :: Maritime Pine,1066
506,Sambucus mexicana :: Blue Elderberry,0
507,Morus rubra :: Red mulbeerry,1571
508,Ficus carica 'Brown Turkey' :: Brown Turkey Fig,604
509,Acer campestre :: Hedge Maple,40
510,Fraxinus velutina 'Modesto' :: Modesto Ash Tree 'Modesto',644
511,Juglans 'Paradox' :: Paradox Walnut Tree 'Paradox',1621
512,Ulmus glabra :: Scotch Elm,1437
513,Prunus lusitanica :: Portugese Cherry Laurel,1166
514,Malus 'Gala' :: Apple Tree 'Gala',0
515,Magnolia doltsopa 'Silvercloud' :: Silvercloud Magnolia,0
516,Phoenix reclinata :: Senegal date palm,1003
517,Euphorbia ingens :: Candelabra tree,1756
518,Wodyetia bifurcata :: Foxtail palm,1692
519,Ilex opaca :: American Holly,728
520,Acer x 'Autumn Blaze' :: Hybrid Maple,0
521,Brahea aramata :: Mexican Blue Palm,215
522,Fortunella margarita :: Kumquat,617
523,Corylus colurna :: Hazel: Turkish,426
